z_normal;cdf_normal;z1;z2;n1;n2;coeficiente
-3.999;0.00003;-3.999;-3.998;0.00003;0.00003;0.00000
-3.998;0.00003;-3.998;-3.997;0.00003;0.00003;0.00000
-3.997;0.00003;-3.997;-3.996;0.00003;0.00003;0.00000
-3.996;0.00003;-3.996;-3.995;0.00003;0.00003;0.00000
-3.995;0.00003;-3.995;-3.994;0.00003;0.00003;0.00000
-3.994;0.00003;-3.994;-3.993;0.00003;0.00003;0.00000
-3.993;0.00003;-3.993;-3.992;0.00003;0.00003;0.00000
-3.992;0.00003;-3.992;-3.991;0.00003;0.00003;0.00000
-3.991;0.00003;-3.991;-3.990;0.00003;0.00003;0.00000
-3.990;0.00003;-3.990;-3.989;0.00003;0.00003;0.00000
-3.989;0.00003;-3.989;-3.988;0.00003;0.00003;0.00000
-3.988;0.00003;-3.988;-3.987;0.00003;0.00003;0.00000
-3.987;0.00003;-3.987;-3.986;0.00003;0.00003;0.00000
-3.986;0.00003;-3.986;-3.985;0.00003;0.00003;0.00000
-3.985;0.00003;-3.985;-3.984;0.00003;0.00003;0.00000
-3.984;0.00003;-3.984;-3.983;0.00003;0.00003;0.00000
-3.983;0.00003;-3.983;-3.982;0.00003;0.00003;0.00000
-3.982;0.00003;-3.982;-3.981;0.00003;0.00003;0.00000
-3.981;0.00003;-3.981;-3.980;0.00003;0.00003;0.00000
-3.980;0.00003;-3.980;-3.979;0.00003;0.00003;0.00000
-3.979;0.00003;-3.979;-3.978;0.00003;0.00003;0.00000
-3.978;0.00003;-3.978;-3.977;0.00003;0.00003;0.00000
-3.977;0.00003;-3.977;-3.976;0.00003;0.00004;0.01000
-3.976;0.00004;-3.976;-3.975;0.00004;0.00004;0.00000
-3.975;0.00004;-3.975;-3.974;0.00004;0.00004;0.00000
-3.974;0.00004;-3.974;-3.973;0.00004;0.00004;0.00000
-3.973;0.00004;-3.973;-3.972;0.00004;0.00004;0.00000
-3.972;0.00004;-3.972;-3.971;0.00004;0.00004;0.00000
-3.971;0.00004;-3.971;-3.970;0.00004;0.00004;0.00000
-3.970;0.00004;-3.970;-3.969;0.00004;0.00004;0.00000
