grupo_id;grupo_descricao;soma_grupo;soma_qtde_grupo;n_grupo;media_grupo;media_qtde_grupo;desviopadrao_grupo;desviopadrao_qtde_grupo;materialidade_grupo;relevancia_grupo;criticidade_grupo;impacto_grupo;probabilidade_grupo;risco_grupo;relevancia_ai_grupo;criticidade_denuncias_grupo;criticidade_corregedoria_grupo;criticidade_relatorio_auditoria_grupo;criticidade_alertaorgao_grupo;criticidade_integridade_grupo;relevancia_idorc_grupo;relevancia_qtde_grupo;distribuicao_normal_qtde_inversa_grupo
01;ÓRGÃO EXECUTOR;13302928128.00;;56;237552288.00000000;;647827246.38;;0.45517;;;;;;;;;;;;;;
02;NATUREZA JURÍDICA;13302928128.00;;5;2660585625.60000000;;3572476168.67;;0.45043;;;;;;;;;;;;;;
03;UNIDADE ORÇAMENTÁRIA;13302928128.00;;71;187365184.90140845;;577091143.83;;0.45690;;;;;;;;;;;;;;
04;FUNÇÃO;13302928128.00;;24;554288672.00000000;;1454694502.30;;0.44523;;;;;;;;;;;;;;
05;SUBFUNÇÃO;13302928128.00;;77;172765300.36363636;;582692294.20;;0.45640;;;;;;;;;;;;;;
06;PROGRAMA;13302928128.00;;168;79184096.000000000000;;226787352.26;;0.44859;;;;;;;;;;;;;;
07;PROJETO ATIVIDADE;13302928128.00;;663;20064748.307692307692;;81586829.80;;0.45436;;;;;;;;;;;;;;
08;CATEGORIA ECONÔMICA;13302928128.00;;2;6651464064.00000000;;5391444677.00;;0.50000;;;;;;;;;;;;;;
09;GRUPO DESPESA;13302928128.00;;3;4434309376.00000000;;5382172950.38;;0.46705;;;;;;;;;;;;;;
10;MODALIDADE APLICAÇÃO;13302928128.00;;9;1478103125.33333333;;2523500210.13;;0.43917;;;;;;;;;;;;;;
11;ELEMENTO DESPESA;13302928128.00;;38;350077056.00000000;;822473108.99;;0.44204;;;;;;;;;;;;;;
12;ELEMENTO ITEM;13302928128.00;;285;46676940.800000000000;;166763226.67;;0.45672;;;;;;;;;;;;;;
13;IDENTIFICADOR ORÇAMENTO;13302928128.00;;2;6651464064.00000000;;3978247630.08;;0.50000;;;;;;;;;;;;;;
14;FONTE RECURSO;2573595336.52;;35;73531295.329142857143;;256604410.32;;0.44964;;;;;;;;;;;;;;
15;PROCEDÊNCIA;2573595336.52;;7;367656476.64571429;;788879815.80;;0.43489;;;;;;;;;;;;;;
16;LICITAÇÃO PROCESSO;2573595336.52;;8;321699417.06500000;;529233828.21;;0.43788;;;;;;;;;;;;;;
17;CONTRATO CONVÊNIO;2573595336.52;;7;367656476.64571429;;542792433.38;;0.43993;;;;;;;;;;;;;;
18;CREDOR;2573595336.52;;28419;90558.968877159647;;2256688.26;;0.48810;;;;;;;;;;;;;;
